frame-00498.bmp: radius 1.965413e-05, zoom level 5.087988e+04
frame-00505.bmp: radius 1.687709e-05, zoom level 5.925191e+04
frame-00540.bmp: radius 7.879819e-06, zoom level 1.269065e+05
frame-00541.bmp: radius 7.710195e-06, zoom level 1.296984e+05
frame-00544.bmp: radius 7.222918e-06, zoom level 1.384482e+05
frame-00501.bmp: radius 1.841201e-05, zoom level 5.431238e+04
frame-00479.bmp: radius 2.971809e-05, zoom level 3.364954e+04
frame-00547.bmp: radius 6.766436e-06, zoom level 1.477883e+05
frame-00497.bmp: radius 2.008652e-05, zoom level 4.978462e+04
frame-00507.bmp: radius 1.615831e-05, zoom level 6.188768e+04
frame-00499.bmp: radius 1.923105e-05, zoom level 5.199924e+04
frame-00543.bmp: radius 7.381822e-06, zoom level 1.354679e+05
frame-00494.bmp: radius 2.144161e-05, zoom level 4.663828e+04
frame-00487.bmp: radius 2.496972e-05, zoom level 4.004850e+04
frame-00502.bmp: radius 1.801567e-05, zoom level 5.550725e+04
frame-00472.bmp: radius 3.460805e-05, zoom level 2.889501e+04
frame-00473.bmp: radius 3.386307e-05, zoom level 2.953070e+04
frame-00477.bmp: radius 3.104007e-05, zoom level 3.221642e+04
frame-00475.bmp: radius 3.242086e-05, zoom level 3.084434e+04
frame-00478.bmp: radius 3.037189e-05, zoom level 3.292518e+04
frame-00489.bmp: radius 2.390628e-05, zoom level 4.183002e+04
frame-00545.bmp: radius 7.067434e-06, zoom level 1.414941e+05
frame-00546.bmp: radius 6.915298e-06, zoom level 1.446069e+05
frame-00548.bmp: radius 6.620779e-06, zoom level 1.510396e+05
frame-00480.bmp: radius 2.907837e-05, zoom level 3.438983e+04
frame-00482.bmp: radius 2.783994e-05, zoom level 3.591962e+04
frame-00483.bmp: radius 2.724064e-05, zoom level 3.670986e+04
frame-00549.bmp: radius 6.478258e-06, zoom level 1.543625e+05
frame-00484.bmp: radius 2.665425e-05, zoom level 3.751747e+04
frame-00485.bmp: radius 2.608048e-05, zoom level 3.834286e+04
frame-00486.bmp: radius 2.551906e-05, zoom level 3.918640e+04
frame-00488.bmp: radius 2.443222e-05, zoom level 4.092957e+04
frame-00481.bmp: radius 2.845241e-05, zoom level 3.514640e+04
frame-00550.bmp: radius 6.338804e-06, zoom level 1.577585e+05
frame-00551.bmp: radius 6.202352e-06, zoom level 1.612292e+05
frame-00552.bmp: radius 6.068838e-06, zoom level 1.647762e+05
frame-00168.bmp: radius 2.583744e-02, zoom level 3.870352e+01
frame-00553.bmp: radius 5.938197e-06, zoom level 1.684013e+05
frame-00554.bmp: radius 5.810369e-06, zoom level 1.721061e+05
frame-00556.bmp: radius 5.562909e-06, zoom level 1.797621e+05
frame-00557.bmp: radius 5.443159e-06, zoom level 1.837168e+05
frame-00555.bmp: radius 5.685293e-06, zoom level 1.758924e+05
frame-00558.bmp: radius 5.325988e-06, zoom level 1.877586e+05
frame-00560.bmp: radius 5.099157e-06, zoom level 1.961109e+05
frame-00559.bmp: radius 5.211338e-06, zoom level 1.918893e+05
frame-00561.bmp: radius 4.989390e-06, zoom level 2.004253e+05
frame-00562.bmp: radius 4.881986e-06, zoom level 2.048347e+05
frame-00563.bmp: radius 4.776895e-06, zoom level 2.093410e+05
frame-00564.bmp: radius 4.674065e-06, zoom level 2.139465e+05
frame-00566.bmp: radius 4.474999e-06, zoom level 2.234637e+05
frame-00565.bmp: radius 4.573449e-06, zoom level 2.186533e+05
frame-00569.bmp: radius 4.192184e-06, zoom level 2.385392e+05
frame-00567.bmp: radius 4.378669e-06, zoom level 2.283799e+05
frame-00568.bmp: radius 4.284412e-06, zoom level 2.334043e+05
frame-00570.bmp: radius 4.101941e-06, zoom level 2.437870e+05
frame-00571.bmp: radius 4.013641e-06, zoom level 2.491503e+05
frame-00167.bmp: radius 2.640587e-02, zoom level 3.787037e+01
frame-00573.bmp: radius 3.842702e-06, zoom level 2.602336e+05
frame-00572.bmp: radius 3.927241e-06, zoom level 2.546317e+05
frame-00574.bmp: radius 3.759982e-06, zoom level 2.659587e+05
frame-00577.bmp: radius 3.522355e-06, zoom level 2.839010e+05
frame-00575.bmp: radius 3.679043e-06, zoom level 2.718098e+05
frame-00579.bmp: radius 3.372340e-06, zoom level 2.965300e+05
